,Country,A3C,Median,Max,Min,Mean
0,Afghanistan,AFG,44.5,86.9,4.5,42.68333333333334
1,Albania,ALB,3.75,29.7,0.0,5.417777777777778
2,Angola,AGO,11.8,37.4,0.6,13.202222222222222
3,Armenia,ARM,6.949999999999999,47.0,0.0,9.553571428571429
4,Azerbaijan,AZE,33.95,74.3,1.5,32.66607142857143
5,Bangladesh,BGD,14.649999999999999,33.0,0.8,14.71904761904762
6,Benin,BEN,12.649999999999999,37.3,0.7,13.845555555555555
7,Burkina Faso,BFA,19.65,47.6,0.0,20.393333333333334
8,Burundi,BDI,25.85,69.1,0.0,27.692222222222224
9,Cambodia,KHM,15.6,58.0,0.0,19.46
10,Cameroon,CMR,20.799999999999997,53.9,0.9,22.74833333333333
11,Chad,TCD,41.85,79.6,9.3,42.43666666666667
12,Colombia,COL,1.6,13.2,0.7,2.351111111111111
13,Comoros,COM,12.850000000000001,49.7,0.8,16.01388888888889
14,Congo,COG,34.2,68.9,7.8,34.90833333333333
15,Dominican Republic,DOM,1.05,10.4,0.0,1.5857142857142856
16,Egypt,EGY,20.55,62.3,1.1,21.679761904761904
17,Eritrea,ERI,48.7,82.8,5.1,46.18666666666667
18,Ethiopia,ETH,23.5,71.9,3.2,28.392222222222223
19,Gabon,GAB,19.15,60.9,1.7,23.109444444444442
20,Gambia,GMB,23.6,72.7,1.9,26.37388888888889
21,Ghana,GHA,9.7,47.1,0.6,12.137777777777778
22,Guatemala,GTM,3.2,18.3,0.0,4.197222222222222
23,Guinea,GIN,41.8,71.2,8.2,40.25611111111111
24,Guyana,GUY,6.8,34.0,0.0,8.945555555555556
25,Haiti,HTI,4.95,22.5,0.1,6.399444444444445
26,Honduras,HND,4.5,23.6,0.3,5.776111111111112
27,India,IND,21.200000000000003,52.4,6.6,23.210555555555555
28,Indonesia,IDN,9.8,42.2,0.0,13.020238095238096
29,Jordan,JOR,12.1,44.3,1.4,13.522962962962962
30,Kenya,KEN,20.5,60.4,0.8,22.08888888888889
31,Lesotho,LSO,16.5,52.5,0.5,18.512222222222224
32,Liberia,LBR,16.45,48.5,0.0,18.919444444444444
33,Madagascar,MDG,10.95,36.9,0.4,16.122777777777777
34,Malawi,MWI,6.3,20.0,0.6,6.786111111111111
35,Maldives,MDV,10.45,27.6,1.5,11.504166666666666
36,Mali,MLI,36.3,83.3,2.6,39.42
37,Morocco,MAR,48.9,86.1,1.1,45.21333333333333
38,Mozambique,MOZ,6.6,26.2,0.0,7.441111111111112
39,Myanmar,MMR,15.350000000000001,61.3,3.1,23.656666666666666
40,Namibia,NAM,11.850000000000001,43.5,1.0,13.601111111111111
41,Nepal,NPL,9.65,38.8,0.0,12.700555555555555
42,Nicaragua,NIC,5.4,22.6,0.0,6.61888888888889
43,Niger,NER,25.65,63.2,0.0,29.211111111111112
44,Nigeria,NGA,16.75,50.2,3.1,18.62333333333333
45,Pakistan,PAK,25.45,62.6,0.1,24.43511904761905
46,Peru,PER,1.25,6.9,0.4,1.8144444444444445
47,Philippines,PHL,2.8,17.5,0.7,5.0633333333333335
48,Rwanda,RWA,12.7,46.1,0.0,15.480555555555556
49,Sao Tome and Principe,STP,10.05,35.8,3.0,11.025862068965518
50,Senegal,SEN,21.95,59.7,0.8,23.196666666666665
51,Sierra Leone,SLE,24.6,70.9,2.3,29.44111111111111
52,South Africa,ZAF,2.7,14.9,0.1,3.5948275862068964
53,Tajikistan,TJK,46.05,70.1,8.3,44.30444444444444
54,Timor-Leste,TLS,44.65,85.2,14.7,46.209999999999994
55,Togo,TGO,12.05,38.4,0.8,13.533333333333333
56,Turkey,TUR,5.25,37.0,0.1,6.964102564102565
57,Turkmenistan,TKM,36.3,72.6,6.6,36.19
58,Uganda,UGA,23.6,59.8,1.5,24.840555555555557
59,Ukraine,UKR,2.3499999999999996,22.0,0.1,3.6923076923076925
60,Yemen,YEM,28.2,61.6,1.3,27.621111111111112
61,Zambia,ZMB,23.9,63.7,0.7,24.361666666666668
62,Zimbabwe,ZWE,16.6,55.2,1.1,18.170555555555556
